GF, SO, SL, Hilos, Operaciones, Agregar, Contiene, Remover
8(ms), 13(ms), 11(ms), 100, 1000, 40, 20, 40
60(ms), 40(ms), 45(ms), 500, 5000, 200, 100, 200
119(ms), 97(ms), 88(ms), 1000, 10000, 400, 200, 400
514(ms), 474(ms), 484(ms), 5000, 50000, 2000, 1000, 2000
1255(ms), 1102(ms), 1337(ms), 10000, 100000, 4000, 2000, 4000
