GF, SO, SL, Hilos, Operaciones, Agregar, Contiene, Remover
873(ms), 769(ms), 870(ms), 10000, 10000, 2000, 2000, 6000
1023(ms), 854(ms), 913(ms), 10000, 10000, 3000, 2000, 5000
954(ms), 906(ms), 929(ms), 10000, 10000, 4000, 2000, 4000
976(ms), 922(ms), 964(ms), 10000, 10000, 5000, 2000, 3000
965(ms), 961(ms), 966(ms), 10000, 10000, 6000, 2000, 2000
997(ms), 950(ms), 927(ms), 10000, 10000, 7000, 2000, 1000
